,Grant.Status,Sponsor.Code,Grant.Category.Code,Contract.Value.Band...see.note.A,RFCD.Code.1,RFCD.Percentage.1,RFCD.Code.2,RFCD.Percentage.2,RFCD.Code.3,RFCD.Percentage.3,RFCD.Code.4,RFCD.Percentage.4,RFCD.Code.5,RFCD.Percentage.5,SEO.Code.1,SEO.Percentage.1,SEO.Code.2,SEO.Percentage.2,SEO.Code.3,SEO.Percentage.3,SEO.Code.4,SEO.Percentage.4,SEO.Code.5,SEO.Percentage.5,Person.ID.1,Role.1,Year.of.Birth.1,Country.of.Birth.1,Dept.No..1,Faculty.No..1,With.PHD.1,No..of.Years.in.Uni.at.Time.of.Grant.1,Number.of.Successful.Grant.1,Number.of.Unsuccessful.Grant.1,A..1,A.1,B.1,C.1
1726,0,86.0,3.0,1.0,270708.0,20.0,291099.0,20.0,270501.0,60.0,0.0,0.0,0.0,0.0,780105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,1,1965.0,7.0,2668.0,25.0,1.0,3.0,0.0,1.0,2.0,9.0,11.0,8.0
1727,0,2.0,1.0,12.0,320704.0,50.0,320799.0,30.0,280209.0,20.0,0.0,0.0,0.0,0.0,780105.0,50.0,671299.0,30.0,700103.0,20.0,0.0,0.0,0.0,0.0,12887.0,1,1960.0,7.0,2678.0,25.0,1.0,1.0,0.0,2.0,8.0,8.0,6.0,0.0
1728,0,86.0,3.0,1.0,270702.0,50.0,300805.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,770307.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29512.0,1,1970.0,4.0,3268.0,31.0,1.0,4.0,2.0,2.0,0.0,6.0,0.0,2.0
1730,0,2.0,1.0,12.0,290302.0,60.0,280201.0,20.0,280302.0,20.0,0.0,0.0,0.0,0.0,671005.0,40.0,671206.0,30.0,730209.0,30.0,0.0,0.0,0.0,0.0,66877.0,1,1955.0,7.0,2163.0,19.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0
1731,0,36.0,1.0,5.0,300201.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12917.0,2,1955.0,7.0,1038.0,1.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0
1734,1,0.0,0.0,3.0,280104.0,80.0,280199.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,700199.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651957.0,1,1970.0,0.0,3073.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1737,1,51.0,7.0,1.0,249901.0,40.0,250302.0,30.0,270104.0,30.0,0.0,0.0,0.0,0.0,780105.0,40.0,780102.0,30.0,780103.0,30.0,0.0,0.0,0.0,0.0,64807.0,1,1960.0,7.0,3198.0,31.0,1.0,2.0,3.0,0.0,16.0,7.0,18.0,4.0
1738,1,100.0,8.0,2.0,321018.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730111.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79562.0,1,1955.0,7.0,2883.0,25.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,13.0
1739,0,215.0,3.0,0.0,270106.0,40.0,270201.0,40.0,270199.0,20.0,0.0,0.0,0.0,0.0,730199.0,50.0,780105.0,30.0,670499.0,20.0,0.0,0.0,0.0,0.0,6747.0,1,1955.0,7.0,3268.0,31.0,1.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0
1740,1,2.0,1.0,3.0,270603.0,40.0,291599.0,30.0,299903.0,30.0,0.0,0.0,0.0,0.0,730106.0,40.0,730118.0,30.0,730299.0,30.0,0.0,0.0,0.0,0.0,9857.0,1,1960.0,9.0,2053.0,19.0,1.0,3.0,0.0,0.0,6.0,12.0,5.0,0.0
1741,0,215.0,3.0,0.0,270503.0,20.0,270601.0,40.0,270603.0,40.0,0.0,0.0,0.0,0.0,780105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64867.0,2,1945.0,7.0,3268.0,31.0,1.0,5.0,2.0,0.0,4.0,26.0,8.0,5.0
1742,0,166.0,1.0,0.0,370401.0,40.0,300801.0,30.0,360201.0,30.0,0.0,0.0,0.0,0.0,760101.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178232.0,1,1945.0,0.0,998.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
1743,0,215.0,3.0,0.0,270599.0,50.0,270703.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,770703.0,50.0,770706.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,32457.0,1,1975.0,7.0,3268.0,31.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
1744,1,215.0,3.0,1.0,270707.0,75.0,270799.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,780105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104057.0,1,1975.0,7.0,3268.0,31.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1745,0,215.0,3.0,0.0,270503.0,40.0,270599.0,30.0,270603.0,30.0,0.0,0.0,0.0,0.0,771003.0,70.0,780105.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,64867.0,2,1945.0,7.0,3268.0,31.0,1.0,5.0,2.0,0.0,4.0,26.0,8.0,5.0
1746,0,202.0,3.0,1.0,321299.0,33.0,380105.0,33.0,370199.0,34.0,0.0,0.0,0.0,0.0,730299.0,33.0,751099.0,33.0,759999.0,34.0,0.0,0.0,0.0,0.0,69222.0,1,1965.0,7.0,2558.0,25.0,0.0,0.0,2.0,3.0,8.0,17.0,8.0,3.0
1747,1,0.0,0.0,1.0,300503.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630103.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66977.0,1,1965.0,7.0,1258.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
1748,0,34.0,8.0,0.0,380107.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11342.0,1,1965.0,7.0,2558.0,25.0,1.0,4.0,0.0,2.0,1.0,1.0,2.0,2.0
1749,1,133.0,5.0,1.0,360105.0,50.0,360199.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,750701.0,50.0,750702.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,69657.0,1,1955.0,0.0,828.0,7.0,1.0,2.0,2.0,3.0,0.0,2.0,11.0,4.0
1750,1,1.0,1.0,0.0,300901.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630501.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25947.0,1,1960.0,7.0,1038.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
1751,0,34.0,8.0,1.0,321299.0,33.0,380105.0,33.0,370199.0,34.0,0.0,0.0,0.0,0.0,730299.0,33.0,751099.0,33.0,759999.0,34.0,0.0,0.0,0.0,0.0,69222.0,1,1965.0,7.0,2558.0,25.0,0.0,0.0,2.0,4.0,8.0,17.0,8.0,3.0
1752,1,0.0,0.0,1.0,350301.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710401.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66197.0,1,1950.0,7.0,1663.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,3.0
1753,1,0.0,0.0,0.0,999999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80057.0,1,1950.0,7.0,3073.0,31.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
1754,1,0.0,0.0,0.0,999999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80057.0,1,1950.0,7.0,3073.0,31.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
1755,0,133.0,5.0,1.0,360105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750701.0,50.0,750702.0,25.0,750703.0,25.0,0.0,0.0,0.0,0.0,69657.0,1,1955.0,0.0,828.0,7.0,1.0,2.0,2.0,3.0,0.0,2.0,11.0,4.0
1758,1,237.0,9.0,2.0,300199.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770802.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73522.0,1,1955.0,7.0,1038.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1759,1,233.0,5.0,1.0,360101.0,40.0,430101.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,750901.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165032.0,1,1960.0,7.0,653.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760,1,4.0,7.0,2.0,320203.0,40.0,320299.0,40.0,270300.0,20.0,0.0,0.0,0.0,0.0,730102.0,60.0,730101.0,30.0,780105.0,10.0,0.0,0.0,0.0,0.0,14777.0,1,1970.0,7.0,2628.0,25.0,1.0,4.0,1.0,0.0,16.0,4.0,1.0,1.0
1762,1,0.0,0.0,5.0,320502.0,40.0,320501.0,40.0,320504.0,20.0,0.0,0.0,0.0,0.0,730110.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78762.0,2,1960.0,7.0,2668.0,25.0,1.0,3.0,0.0,0.0,15.0,4.0,7.0,1.0
1763,1,51.0,7.0,1.0,240401.0,50.0,240402.0,30.0,240499.0,20.0,0.0,0.0,0.0,0.0,780102.0,60.0,670402.0,20.0,730305.0,20.0,0.0,0.0,0.0,0.0,5382.0,1,1965.0,9.0,3198.0,31.0,0.0,0.0,2.0,0.0,4.0,6.0,6.0,0.0
1764,1,0.0,0.0,3.0,321204.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3182.0,1,1965.0,7.0,2523.0,25.0,1.0,3.0,0.0,0.0,0.0,6.0,20.0,20.0
1765,1,196.0,7.0,8.0,290603.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670104.0,50.0,670105.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,7947.0,1,1960.0,9.0,3048.0,31.0,1.0,3.0,0.0,0.0,19.0,5.0,3.0,3.0
1766,1,132.0,3.0,1.0,321207.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730206.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103852.0,2,1950.0,7.0,2523.0,25.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
1767,1,18.0,9.0,1.0,321216.0,50.0,321299.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730201.0,25.0,730202.0,25.0,730218.0,50.0,0.0,0.0,0.0,0.0,20122.0,1,1965.0,0.0,2523.0,25.0,1.0,4.0,1.0,2.0,0.0,9.0,4.0,1.0
1768,0,0.0,0.0,4.0,320299.0,40.0,270201.0,40.0,270303.0,20.0,0.0,0.0,0.0,0.0,730102.0,40.0,730101.0,40.0,780105.0,20.0,0.0,0.0,0.0,0.0,14777.0,1,1970.0,7.0,2628.0,25.0,1.0,4.0,1.0,1.0,16.0,4.0,1.0,1.0
1769,0,32.0,3.0,0.0,270103.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30772.0,1,1970.0,7.0,2603.0,25.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0
1770,0,0.0,0.0,4.0,270107.0,75.0,270103.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,730104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659757.0,1,1960.0,7.0,2668.0,25.0,1.0,4.0,0.0,1.0,9.0,2.0,1.0,0.0
1771,0,32.0,3.0,6.0,321008.0,30.0,321015.0,40.0,270202.0,30.0,0.0,0.0,0.0,0.0,730101.0,40.0,730108.0,40.0,730203.0,20.0,0.0,0.0,0.0,0.0,44252.0,1,1960.0,7.0,2813.0,25.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0
1773,0,0.0,0.0,4.0,370301.0,20.0,320602.0,40.0,291504.0,40.0,0.0,0.0,0.0,0.0,730114.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68692.0,1,1950.0,0.0,2553.0,25.0,1.0,2.0,0.0,1.0,3.0,4.0,8.0,1.0
1775,1,18.0,9.0,1.0,321299.0,33.0,380105.0,33.0,370199.0,34.0,0.0,0.0,0.0,0.0,730299.0,33.0,751099.0,33.0,759999.0,34.0,0.0,0.0,0.0,0.0,69222.0,1,1965.0,7.0,2558.0,25.0,0.0,0.0,3.0,4.0,8.0,17.0,8.0,3.0
1776,0,97.0,3.0,2.0,380103.0,20.0,380107.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65387.0,1,1965.0,7.0,2558.0,25.0,1.0,5.0,0.0,3.0,2.0,7.0,14.0,1.0
1778,0,32.0,3.0,7.0,320602.0,50.0,321004.0,30.0,321015.0,20.0,0.0,0.0,0.0,0.0,730203.0,60.0,730105.0,20.0,730108.0,20.0,0.0,0.0,0.0,0.0,76792.0,4,1970.0,7.0,2828.0,25.0,0.0,3.0,0.0,1.0,0.0,4.0,2.0,2.0
1779,0,90.0,5.0,3.0,321003.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,50.0,730105.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,136607.0,1,1960.0,7.0,2828.0,25.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0
1780,0,0.0,0.0,2.0,320705.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730111.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79567.0,1,1955.0,7.0,2883.0,25.0,0.0,3.0,0.0,0.0,4.0,4.0,7.0,2.0
1781,1,75.0,2.0,1.0,270103.0,60.0,270201.0,30.0,270304.0,10.0,0.0,0.0,0.0,0.0,730102.0,40.0,730112.0,30.0,730214.0,30.0,0.0,0.0,0.0,0.0,73512.0,1,1960.0,7.0,2553.0,25.0,1.0,4.0,2.0,0.0,5.0,1.0,2.0,0.0
1783,0,97.0,3.0,1.0,380106.0,80.0,380102.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,740501.0,50.0,740101.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,70767.0,1,1945.0,7.0,2558.0,25.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0
1784,0,174.0,3.0,1.0,321214.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730209.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30612.0,1,1955.0,7.0,2518.0,25.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0
1785,0,97.0,3.0,1.0,320702.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69032.0,3,1965.0,7.0,2538.0,25.0,1.0,4.0,1.0,3.0,4.0,5.0,4.0,2.0
1786,0,4.0,1.0,10.0,321299.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,40.0,730107.0,30.0,730219.0,30.0,0.0,0.0,0.0,0.0,79192.0,1,1950.0,7.0,2523.0,25.0,1.0,2.0,1.0,4.0,42.0,55.0,18.0,4.0
1787,0,97.0,3.0,1.0,321021.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730104.0,50.0,730211.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4222.0,1,1960.0,7.0,2768.0,25.0,0.0,5.0,0.0,3.0,13.0,17.0,7.0,2.0
1788,1,75.0,2.0,1.0,320899.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730214.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51842.0,1,1970.0,7.0,2553.0,25.0,0.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0
1789,0,0.0,0.0,1.0,320705.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730111.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23342.0,2,1960.0,7.0,2883.0,25.0,1.0,3.0,0.0,0.0,1.0,0.0,13.0,6.0
1790,1,75.0,2.0,1.0,320899.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730112.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12527.0,1,1945.0,0.0,2553.0,25.0,0.0,1.0,0.0,0.0,11.0,25.0,16.0,3.0
1791,1,75.0,2.0,1.0,270306.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730214.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27372.0,1,1960.0,7.0,2553.0,25.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
1792,1,75.0,2.0,1.0,320801.0,50.0,320602.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730112.0,50.0,730114.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,330592.0,1,1965.0,7.0,2553.0,25.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0
1793,0,75.0,2.0,1.0,270304.0,75.0,320899.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,730214.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63757.0,1,1960.0,0.0,2553.0,25.0,1.0,5.0,0.0,1.0,6.0,4.0,0.0,3.0
1794,0,97.0,3.0,1.0,250302.0,50.0,320502.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78962.0,1,1955.0,7.0,2668.0,25.0,0.0,1.0,1.0,3.0,3.0,2.0,7.0,1.0
1795,0,0.0,0.0,2.0,321015.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17342.0,1,1960.0,7.0,2828.0,25.0,1.0,4.0,0.0,11.0,7.0,17.0,17.0,3.0
1796,0,97.0,3.0,1.0,330109.0,90.0,321214.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,730306.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8772.0,1,1965.0,7.0,2763.0,25.0,0.0,1.0,4.0,3.0,4.0,6.0,4.0,2.0
1797,0,0.0,0.0,3.0,320705.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730111.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405312.0,1,1965.0,7.0,2883.0,25.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0
1798,1,75.0,2.0,1.0,320899.0,60.0,321202.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,730214.0,40.0,730208.0,30.0,730219.0,30.0,0.0,0.0,0.0,0.0,67152.0,1,1955.0,8.0,2553.0,25.0,1.0,2.0,0.0,0.0,0.0,7.0,5.0,1.0
1800,1,75.0,2.0,1.0,320804.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730112.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17857.0,1,1970.0,9.0,2553.0,25.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
1801,0,97.0,3.0,3.0,380107.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750307.0,40.0,750312.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,28797.0,1,1970.0,7.0,2768.0,25.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0
1802,0,4.0,1.0,10.0,321299.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730206.0,60.0,749904.0,20.0,750309.0,20.0,0.0,0.0,0.0,0.0,64357.0,1,1965.0,7.0,2523.0,25.0,1.0,3.0,0.0,1.0,3.0,7.0,13.0,5.0
1803,0,97.0,3.0,2.0,320602.0,50.0,321004.0,30.0,321015.0,20.0,0.0,0.0,0.0,0.0,730203.0,60.0,730105.0,20.0,730108.0,20.0,0.0,0.0,0.0,0.0,66887.0,1,1955.0,7.0,2813.0,25.0,0.0,1.0,1.0,4.0,0.0,7.0,2.0,0.0
1804,1,0.0,0.0,1.0,300605.0,50.0,270402.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,620399.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50032.0,1,1965.0,7.0,1098.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0
1805,0,40.0,2.0,0.0,320302.0,30.0,321003.0,35.0,321004.0,35.0,0.0,0.0,0.0,0.0,730105.0,50.0,730106.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,69812.0,1,1960.0,7.0,2813.0,25.0,0.0,3.0,2.0,6.0,13.0,11.0,15.0,2.0
1806,1,2.0,1.0,1.0,239999.0,80.0,240201.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,780101.0,80.0,780102.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,46772.0,1,1970.0,7.0,3098.0,31.0,1.0,4.0,0.0,0.0,2.0,15.0,2.0,10.0
1807,1,0.0,0.0,2.0,230118.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610199.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5812.0,1,1965.0,4.0,2153.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1808,0,38.0,3.0,0.0,380107.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750307.0,40.0,750312.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,33557.0,1,1955.0,7.0,2768.0,25.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1810,1,59.0,7.0,1.0,260599.0,40.0,300199.0,30.0,300299.0,30.0,0.0,0.0,0.0,0.0,760199.0,40.0,760299.0,30.0,620504.0,30.0,0.0,0.0,0.0,0.0,64517.0,1,1960.0,7.0,2053.0,19.0,1.0,5.0,0.0,0.0,15.0,6.0,9.0,1.0
1811,1,59.0,7.0,3.0,260599.0,40.0,300199.0,30.0,300299.0,30.0,0.0,0.0,0.0,0.0,760199.0,40.0,760299.0,30.0,620504.0,30.0,0.0,0.0,0.0,0.0,32592.0,1,1975.0,7.0,2103.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1812,0,2.0,1.0,1.0,280103.0,50.0,280203.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,700103.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9067.0,1,1960.0,7.0,2538.0,25.0,1.0,2.0,3.0,4.0,10.0,15.0,4.0,3.0
1813,0,2.0,1.0,1.0,440110.0,50.0,440104.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,750404.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70987.0,1,1965.0,7.0,2543.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0
1814,0,63.0,9.0,6.0,321024.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730303.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70212.0,1,1940.0,7.0,2563.0,25.0,0.0,1.0,0.0,2.0,1.0,3.0,5.0,6.0
1815,0,0.0,0.0,3.0,320702.0,60.0,321005.0,30.0,270106.0,10.0,0.0,0.0,0.0,0.0,730104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134907.0,1,1975.0,7.0,2578.0,25.0,1.0,4.0,0.0,2.0,3.0,3.0,0.0,1.0
1817,0,82.0,6.0,7.0,320202.0,40.0,320205.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12957.0,1,1965.0,0.0,2603.0,25.0,1.0,3.0,1.0,8.0,21.0,7.0,9.0,1.0
1818,0,63.0,9.0,2.0,329999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730308.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70212.0,1,1940.0,7.0,2563.0,25.0,0.0,1.0,0.0,2.0,1.0,3.0,5.0,6.0
1819,1,5.0,3.0,1.0,321016.0,50.0,321205.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730215.0,50.0,730111.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,741312.0,1,1950.0,7.0,2813.0,25.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
1820,1,2.0,1.0,3.0,430101.0,60.0,360102.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,750901.0,80.0,750604.0,10.0,750601.0,10.0,0.0,0.0,0.0,0.0,165032.0,1,1960.0,7.0,653.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1821,1,113.0,2.0,3.0,300405.0,50.0,270210.0,30.0,270203.0,20.0,0.0,0.0,0.0,0.0,670602.0,40.0,670503.0,35.0,630403.0,25.0,0.0,0.0,0.0,0.0,17947.0,1,1975.0,7.0,3258.0,31.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
1822,0,18.0,9.0,5.0,321216.0,60.0,321206.0,20.0,321204.0,20.0,0.0,0.0,0.0,0.0,730217.0,40.0,730219.0,40.0,730213.0,20.0,0.0,0.0,0.0,0.0,84622.0,1,1955.0,7.0,2973.0,25.0,0.0,4.0,0.0,5.0,8.0,10.0,2.0,5.0
1823,0,0.0,0.0,0.0,321208.0,70.0,321010.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,730201.0,50.0,730101.0,30.0,730115.0,20.0,0.0,0.0,0.0,0.0,76237.0,1,1960.0,0.0,2923.0,25.0,1.0,5.0,0.0,3.0,2.0,3.0,5.0,1.0
1824,0,0.0,0.0,1.0,321204.0,40.0,321202.0,30.0,321004.0,30.0,0.0,0.0,0.0,0.0,730203.0,40.0,730211.0,30.0,730202.0,30.0,0.0,0.0,0.0,0.0,84622.0,1,1955.0,7.0,2973.0,25.0,0.0,4.0,0.0,5.0,8.0,10.0,2.0,5.0
1825,0,101.0,6.0,2.0,321021.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79242.0,1,1945.0,7.0,2768.0,25.0,1.0,2.0,0.0,3.0,1.0,10.0,11.0,2.0
1826,1,18.0,9.0,5.0,321299.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730299.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72422.0,1,1960.0,7.0,2523.0,25.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,0.0
